sample_id,theme,title,category,v1_primary_topic,llm_region,llm_sector,llm_primary_asset,rule_asset,v1_asset,hybrid_primary_asset,affected_assets,expect_hint,MANUAL_region,MANUAL_primary_asset,MANUAL_affected_assets,result,note
18,환율달러,[Morning Brief] 중동전쟁 종전 기대감 확대되며 미 ..,market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,환율(FX),국내주식,국내주식:positive:0.95:primary; 원자재금:positive:0.72:secondary,환율(FX),,,,,
19,환율달러,국내 주식 마감 시황 - 짧은 휴식 후 개인 수급 박차..,market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,해외채권,국내주식,국내주식:positive:0.95:primary; 원자재금:positive:0.73:secondary,환율(FX),,,,,
20,환율달러,[IBKS Daily] Morning Brief(260507),market_info,테크_AI_반도체,KR,지정학,국내주식,원자재금,환율(FX),국내주식,국내주식:positive:0.94:primary; 환율(FX):positive:0.85:secondary,환율(FX),,,,,
21,원자재유가금,"[장중 시황 코멘트] KOSPI 7,300pt Vs. S&P500 7,259p..",market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:0.96:primary,원자재금,,,,,
22,원자재유가금,"마켓레이더 - S&P500 역전한 KOSPI, 갭상승 후 7,300p..",market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,해외채권,국내주식,국내주식:positive:0.95:primary; 원자재금:positive:0.72:secondary,원자재금,,,,,
23,원자재유가금,Daily 신한생각 (5월 6일),market_info,테크_AI_반도체,KR,경기_소비,국내주식,국내주식,국내주식,국내주식,국내주식:neutral:0.80:primary,원자재금,,,,,
24,원자재유가금,Re-NEWable Weekly [5월 2주차],industry,에너지_원자재,GLOBAL,에너지_원자재,원자재금,원자재금,원자재금,원자재금,원자재금:positive:0.88:primary,원자재금,,,,,
25,관세무역,4월 미국 CPI: 3%에 익숙해지기,economy,물가_인플레이션,US,물가_인플레이션,해외채권,해외채권,해외채권,해외채권,해외채권:negative:0.91:primary; 해외주식:negative:0.80:secondary,,,,,,
26,관세무역,[IBKS Daily] Morning Brief(260506),market_info,테크_AI_반도체,KR,환율_FX,국내주식,환율(FX),환율(FX),국내주식,국내주식:positive:0.92:primary; 환율(FX):positive:0.89:secondary,,,,,,
27,관세무역,[장중 시황] 부익부 빈익빈 장세 지속 (5/27),market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:0.94:primary; 원자재금:positive:0.70:secondary,,,,,,
28,크레딧스프레드,Daily 신한생각 (5월 8일),market_info,테크_AI_반도체,KR,유동성_크레딧,국내채권,크레딧,해외채권,국내채권,국내채권:neutral:0.75:primary,크레딧,,,,,
29,크레딧스프레드,Daily 신한생각 (5월 12일),market_info,테크_AI_반도체,US,테크_AI_반도체,해외주식,해외주식,해외주식,해외주식,해외주식:negative:0.82:primary,크레딧,,,,,
30,크레딧스프레드,2H26 한미 채권시장 전망; K-Dynamics (양극화 파고를..,debenture,금리_채권,US,금리_채권,해외채권,해외채권,국내채권,해외채권,해외채권:neutral:0.88:primary,크레딧,,,,,
31,복합,"반복되는 월초 삼성전자, SK하이닉스 급등. 원인과 대..",invest,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:0.95:primary,,,,,,
32,복합,국내 주식 마감 시황 - 숨고를 틈 없는 반도체의 질주..,market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:0.95:primary,,,,,,
33,복합,미국 4월 소비자물가: 에너지 발 2차 파급 확인,economy,물가_인플레이션,US,물가_인플레이션,해외채권,해외채권,해외채권,해외채권,해외채권:negative:0.90:primary; 원자재금:negative:0.75:secondary,,,,,,
34,복합,5/6 KB 리서치 장마감코멘트,market_info,테크_AI_반도체,KR,지정학,국내주식,원자재금,해외채권,국내주식,국내주식:positive:0.95:primary; 원자재금:positive:0.72:secondary,,,,,,
35,복합,Daily 신한생각 (5월 7일),market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,해외주식,국내주식,국내주식:neutral:0.72:primary,,,,,,
36,복합,Daily Bond Morning Brief(2026.05.07),market_info,테크_AI_반도체,US,테크_AI_반도체,해외주식,해외주식,해외채권,해외주식,해외주식:positive:0.93:primary; 원자재금:positive:0.68:secondary,,,,,,
37,복합,Daily Bond Morning Brief(2026.05.11),market_info,테크_AI_반도체,US,테크_AI_반도체,해외주식,해외주식,해외주식,해외주식,해외주식:positive:0.94:primary,,,,,,
38,복합,Daily Bond Morning Brief(2026.05.12),market_info,테크_AI_반도체,US,테크_AI_반도체,해외주식,해외주식,해외주식,해외주식,해외주식:positive:0.88:primary,,,,,,
39,복합,국내 주식 마감 시황 - 마침내 팔천피 (5월 26일),market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,해외채권,국내주식,국내주식:positive:0.96:primary,,,,,,
40,한국주식반도체,국내 주식 마감 시황 - 두 번째 두드리는 팔천피의 문..,market_info,테크_AI_반도체,KR,테크_AI_반도체,국내주식,국내주식,국내주식,국내주식,국내주식:positive:0.92:primary; 원자재금:positive:0.60:secondary,국내주식,,,,,
41,한국주식반도체,마켓레이더 - 반도체 쉬는 사이 팔천피 돌파 씬스틸러..,market_info,테크_AI_반도체,KR,지정학,국내주식,원자재금,국내주식,국내주식,국내주식:mixed:0.88:primary; 원자재금:positive:0.75:secondary,국내주식,,,,,
42,한국주식반도체,"마켓레이더 - 매크로 불안 진정, 팔천피 안착 여부 주..",market_info,지정학,KR,지정학,국내주식,원자재금,해외채권,국내주식,국내주식:positive:0.91:primary; 원자재금:positive:0.82:secondary,국내주식,,,,,
43,한국주식반도체,국내 주식 마감 시황 - 팔천피 사수. 흔들림 속 지각..,market_info,테크_AI_반도체,KR,지정학,국내주식,원자재금,국내주식,국내주식,국내주식:mixed:0.85:primary,국내주식,,,,,
